Component,Sub-component,Weight,Primary Material,% Primary Material,Secondary Material,% Secondary Material,Lifespan,Connection Method,Target_Class
Dry-Type Marine Transformer,Magnetic Core,1078.7,Electrical Steel,99.0,Silicon Steel,1.9,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Frame and Clamping Structure,96.96,Carbon Steel,86.6,Stainless Steel,4.8,32.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,343.74,Copper,93.2,Epoxy Resin,10.4,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,37.76,Copper,73.6,Carbon Steel,15.6,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,370.62,Copper,83.6,Epoxy Resin,11.5,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1069.38,Electrical Steel,93.7,Silicon Steel,2.0,25.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Frame and Clamping Structure,95.59,Carbon Steel,87.2,Stainless Steel,4.6,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,384.28,Copper,89.2,Epoxy Resin,9.1,28.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,366.25,Copper,89.2,Epoxy Resin,11.8,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,40.82,Copper,82.1,Carbon Steel,14.7,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.83,5052-H32 Aluminum,83.9,Carbon Steel,11.1,14.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,23.3,FR4 Composite,45.0,Copper,28.2,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,268.36,FR4 Composite,68.4,Polyester Resin,20.5,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,292.64,Epoxy Resin,69.3,Polyester Resin,22.4,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,329.85,Copper,85.0,Epoxy Resin,9.8,27.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,16.2,Aluminum Alloy,83.2,Carbon Steel,12.3,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,23.09,FR4 Composite,43.0,Copper,27.6,10.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,975.48,Electrical Steel,95.8,Silicon Steel,1.9,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,343.05,Copper,84.9,Epoxy Resin,11.4,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,37.58,Copper,76.6,Carbon Steel,15.4,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,93.48,Carbon Steel,86.9,Stainless Steel,5.3,30.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,40.46,Copper,78.0,Carbon Steel,15.9,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,326.26,Copper,85.4,Epoxy Resin,9.9,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,274.22,Epoxy Resin,69.3,Polyester Resin,20.6,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1048.74,Electrical Steel,99.0,Silicon Steel,1.8,32.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.5,Aluminum Alloy,75.3,Carbon Steel,11.8,16.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,94.56,Carbon Steel,96.6,Stainless Steel,4.8,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,376.63,Tinned Copper,85.8,Epoxy Resin,11.4,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,21.91,FR4 Composite,46.2,Copper,30.5,12.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,95.16,Carbon Steel,90.9,Stainless Steel,4.6,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cast-Resin Insulation,255.35,Epoxy Resin,76.0,Polyester Resin,23.8,24.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,393.11,Copper,83.1,Epoxy Resin,10.7,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1014.1,Electrical Steel,99.0,Silicon Steel,2.1,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,20.98,Epoxy Resin,46.6,Copper,28.2,10.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,13.96,Aluminum Alloy,79.4,Carbon Steel,12.5,15.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,331.19,Copper,82.8,Epoxy Resin,9.4,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,36.97,Copper,75.3,Carbon Steel,14.9,20.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,372.58,Copper,85.2,Epoxy Resin,10.6,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.51,Aluminum Alloy,80.3,Carbon Steel,11.7,18.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,21.15,Epoxy Resin,49.3,Copper,29.3,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,277.08,Epoxy Resin,74.2,Polyester Resin,23.6,17.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,36.66,Copper,75.3,Carbon Steel,14.8,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,99.27,Carbon Steel,89.6,Stainless Steel,4.9,24.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,373.13,Copper,87.2,Epoxy Resin,9.4,28.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,963.08,Electrical Steel,93.1,Silicon Steel,2.1,34.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,1009.29,High-Grade Silicon Steel,95.3,Silicon Steel,1.8,33.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,38.02,Copper,80.9,Carbon Steel,16.1,22.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,89.84,Carbon Steel,95.8,Stainless Steel,5.4,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cast-Resin Insulation,249.59,Epoxy Resin,74.2,Polyester Resin,23.5,16.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,361.07,Copper,90.2,Epoxy Resin,9.6,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,19.57,FR4 Composite,44.6,Copper,29.8,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.61,Aluminum Alloy,75.7,Carbon Steel,12.2,15.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,343.24,Copper,89.8,Epoxy Resin,10.1,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,40.0,Copper,76.7,Carbon Steel,13.7,18.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,369.57,Copper,82.8,Epoxy Resin,11.4,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,20.65,FR4 Composite,47.5,Copper,31.0,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,357.01,Copper,90.5,Epoxy Resin,10.0,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,96.83,Carbon Steel,88.1,Stainless Steel,5.4,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cast-Resin Insulation,290.77,Epoxy Resin,76.1,Polyester Resin,20.3,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,985.28,Electrical Steel,92.4,Silicon Steel,2.2,32.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,13.85,Aluminum Alloy,83.2,Carbon Steel,11.9,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,355.46,Copper,87.7,Epoxy Resin,10.5,27.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,38.87,Copper,75.9,Carbon Steel,15.5,23.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,951.27,Electrical Steel,95.3,Silicon Steel,2.0,29.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,394.26,Copper,84.6,Epoxy Resin,11.2,20.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,248.8,Epoxy Resin,67.8,Polyester Resin,21.3,18.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.4,Aluminum Alloy,83.1,Carbon Steel,12.2,14.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,21.16,FR4 Composite,47.3,Copper,27.4,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,91.15,Carbon Steel,91.6,Stainless Steel,5.2,32.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,16.45,Aluminum Alloy,78.5,Carbon Steel,11.4,14.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,34.07,Copper,76.3,Carbon Steel,15.5,21.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,101.59,Carbon Steel,90.4,Stainless Steel,4.9,24.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cast-Resin Insulation,257.11,Epoxy Resin,72.5,Polyester Resin,22.0,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,330.98,Copper,89.1,Epoxy Resin,10.6,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,335.46,Copper,87.7,Epoxy Resin,10.4,24.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1055.88,Electrical Steel,96.8,Silicon Steel,2.0,29.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,19.92,FR4 Composite,44.0,Copper,29.3,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,94.33,Carbon Steel,91.6,Stainless Steel,5.3,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,36.61,Copper,76.0,Carbon Steel,15.1,20.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.46,Aluminum Alloy,83.9,Carbon Steel,11.7,18.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,252.43,Epoxy Resin,73.2,Polyester Resin,22.5,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,24.35,FR4 Composite,45.5,Copper,31.3,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,961.59,Electrical Steel,98.8,Silicon Steel,2.0,28.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,363.75,Copper,92.0,Epoxy Resin,10.3,29.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,386.97,Copper,83.5,Epoxy Resin,10.7,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1011.95,Electrical Steel,97.5,Silicon Steel,2.1,27.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,23.6,FR4 Composite,44.8,Copper,30.8,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,375.99,Copper,91.3,Epoxy Resin,10.5,18.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,95.26,Carbon Steel,94.0,Stainless Steel,4.9,30.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,387.6,Copper,91.0,Epoxy Resin,10.8,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,39.8,Copper,79.0,Carbon Steel,16.3,20.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,15.98,Aluminum Alloy,75.8,Carbon Steel,12.7,16.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,277.27,FR4 Composite,69.5,Polyester Resin,22.0,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,35.85,Copper,79.5,Carbon Steel,14.0,20.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,94.44,Carbon Steel,90.1,Stainless Steel,5.2,33.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Primary Copper Windings,373.62,Copper,90.7,Epoxy Resin,9.7,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,13.61,Aluminum Alloy,77.7,Carbon Steel,11.5,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,364.57,Copper,82.1,Epoxy Resin,11.8,24.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,260.51,Epoxy Resin,73.9,Polyester Resin,22.3,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,966.96,Electrical Steel,93.9,Silicon Steel,2.1,31.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,23.85,FR4 Composite,43.7,Copper,28.5,12.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,276.99,Epoxy Resin,75.5,Polyester Resin,23.9,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,100.67,Carbon Steel,92.3,Stainless Steel,4.9,32.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.64,Aluminum Alloy,79.8,Carbon Steel,12.0,16.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Magnetic Core,988.34,Silicon Steel,95.2,Silicon Steel,1.9,33.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Sensors and Electronics,21.79,FR4 Composite,45.8,Copper,29.2,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,40.37,Copper,81.2,Carbon Steel,15.9,20.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Secondary Copper Windings,352.69,Copper,83.9,Epoxy Resin,11.3,18.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,362.5,Copper,83.4,Epoxy Resin,10.1,27.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,16.07,Aluminum Alloy,77.0,Carbon Steel,12.9,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,20.76,FR4 Composite,43.3,Copper,32.6,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,41.4,Copper,80.2,Carbon Steel,16.1,17.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,378.84,Copper,84.9,Epoxy Resin,9.5,25.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,1061.41,Electrical Steel,99.0,Silicon Steel,1.8,25.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cast-Resin Insulation,250.55,Epoxy Resin,71.5,Polyester Resin,21.9,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Secondary Copper Windings,354.94,Copper,84.9,Epoxy Resin,10.0,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,96.18,Carbon Steel,91.4,Stainless Steel,5.1,32.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,1040.75,Electrical Steel,97.8,Silicon Steel,1.9,27.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,360.22,Copper,85.3,Epoxy Resin,11.4,23.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,19.39,FR4 Composite,46.4,Copper,28.3,14.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cast-Resin Insulation,282.66,Epoxy Resin,72.0,Polyester Resin,20.7,21.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,373.46,Copper,91.8,Epoxy Resin,9.7,28.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,36.39,Copper,74.3,Carbon Steel,14.3,18.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,16.28,Aluminum Alloy,79.7,Carbon Steel,12.4,13.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Frame and Clamping Structure,93.62,Carbon Steel,90.1,Stainless Steel,4.7,26.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Magnetic Core,987.07,Electrical Steel,99.0,Silicon Steel,2.1,35.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,13.93,Aluminum Alloy,83.4,Carbon Steel,11.6,14.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,266.37,Epoxy Resin,74.1,Polyester Resin,21.8,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Frame and Clamping Structure,101.23,Carbon Steel,94.9,Stainless Steel,4.9,28.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,325.4,Copper,92.0,Epoxy Resin,11.5,24.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,36.94,Copper,80.0,Carbon Steel,14.4,19.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Primary Copper Windings,338.36,Copper,86.2,Epoxy Resin,10.1,22.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Sensors and Electronics,20.64,FR4 Composite,46.9,Copper,27.9,11.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Primary Copper Windings,344.17,Copper,92.3,Epoxy Resin,10.0,26.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Cooling Ducts and Ventilation,14.33,Aluminum Alloy,76.2,Carbon Steel,12.3,14.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Cast-Resin Insulation,282.14,Epoxy Resin,68.6,Polyester Resin,20.6,19.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Magnetic Core,970.08,Electrical Steel,97.0,Silicon Steel,1.9,28.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Frame and Clamping Structure,95.97,Carbon Steel,87.5,Stainless Steel,4.8,33.0,Mechanically Fastened / Bolted,1.0
Dry-Type Marine Transformer,Secondary Copper Windings,325.57,Copper,87.3,Epoxy Resin,10.6,24.0,Chemically Bonded / Cast,2.0
Dry-Type Marine Transformer,Terminals and Electrical Connections,40.28,Phosphor Bronze,77.4,Carbon Steel,14.6,22.0,Mechanically Fastened / Bolted,0.0
Dry-Type Marine Transformer,Sensors and Electronics,21.27,FR4 Composite,44.0,Copper,28.5,11.0,Chemically Bonded / Cast,2.0
Main Switchboard,Protection Relays and Meters,15.08,FR4 Composite,42.7,Copper,32.0,12.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Earthing and Grounding Bars,17.02,Copper,91.3,Carbon Steel,4.2,34.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,29.25,Carbon Steel,86.1,Polyamide,7.4,28.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,35.49,Carbon Steel,53.0,Copper,23.1,15.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,936.49,Carbon Steel,97.3,Stainless Steel,2.8,33.0,Welded,1.0
Main Switchboard,Insulation Panels and Barriers,11.03,Polyamide,72.0,Polycarbonate,23.4,15.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Copper Busbar System,242.63,Cu-ETP Copper,94.8,Carbon Steel,1.0,30.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,19.17,Copper,50.2,Silver-Tin Oxide,21.2,10.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Control Wiring Harness,16.23,Copper,65.8,PVC,28.6,14.0,Extruded / Stranded,2.0
Main Switchboard,PLC and Logic Assemblies,24.56,FR4 Composite,49.8,Copper,25.5,10.0,Chemically Bonded / Cast,2.0
Main Switchboard,Control Wiring Harness,16.1,Copper,66.2,PVC,28.1,12.0,Extruded / Stranded,2.0
Main Switchboard,Earthing and Grounding Bars,16.8,Copper,93.3,Carbon Steel,4.2,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Contactors,19.75,Copper,47.9,Silver-Tin Oxide,21.2,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,41.04,Carbon Steel,56.1,Copper,24.8,18.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,857.7,Carbon Steel,99.0,Stainless Steel,2.9,32.0,Welded,1.0
Main Switchboard,Door Panels and Covers,29.65,Carbon Steel,84.3,Polyamide,7.4,30.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,23.23,FR4 Composite,50.7,Copper,28.4,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Copper Busbar System,230.21,Copper,99.0,Carbon Steel,1.1,24.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Insulation Panels and Barriers,10.84,Polyamide,68.2,Polycarbonate,23.5,15.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Protection Relays and Meters,12.8,Epoxy Resin,38.0,Copper,32.9,13.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,12.91,Polyamide,72.7,Polycarbonate,21.6,16.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Steel Frame / Chassis,842.2,Carbon Steel,92.5,Stainless Steel,3.2,28.0,Welded,1.0
Main Switchboard,Protection Relays and Meters,13.59,FR4 Composite,40.5,Copper,30.7,16.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,235.31,Copper,99.0,Carbon Steel,1.0,24.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Circuit Breakers,41.93,Carbon Steel,58.1,Copper,23.9,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Door Panels and Covers,26.99,Carbon Steel,89.7,Polyamide,8.6,24.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Control Wiring Harness,15.08,Copper,68.4,PVC,31.1,17.0,Extruded / Stranded,2.0
Main Switchboard,Withdrawable Contactors,18.12,Copper,50.6,Silver-Tin Oxide,20.3,11.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,20.03,FR4 Composite,45.8,Copper,29.0,13.0,Chemically Bonded / Cast,2.0
Main Switchboard,Earthing and Grounding Bars,17.55,Copper,93.2,Carbon Steel,4.1,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Door Panels and Covers,30.16,Carbon Steel,84.3,Polyamide,7.9,32.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,20.03,Epoxy Resin,44.2,Copper,27.4,14.0,Chemically Bonded / Cast,2.0
Main Switchboard,Withdrawable Contactors,16.94,Copper,48.6,Silver-Tin Oxide,20.4,12.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Earthing and Grounding Bars,15.92,Copper,99.0,Carbon Steel,3.7,35.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Copper Busbar System,237.59,Copper,98.1,Carbon Steel,1.0,22.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,13.17,FR4 Composite,43.2,Copper,31.0,15.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Insulation Panels and Barriers,12.89,Polyamide,70.6,Polycarbonate,22.9,17.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Withdrawable Circuit Breakers,39.3,Carbon Steel,52.3,Copper,26.3,16.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Steel Frame / Chassis,885.15,Carbon Steel,93.1,Stainless Steel,3.3,28.0,Welded,1.0
Main Switchboard,Control Wiring Harness,16.95,Copper,66.1,PVC,28.7,18.0,Extruded / Stranded,2.0
Main Switchboard,Control Wiring Harness,14.62,Copper,61.8,PVC,30.5,14.0,Extruded / Stranded,2.0
Main Switchboard,Door Panels and Covers,27.7,Carbon Steel,92.3,Polyamide,8.1,28.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,PLC and Logic Assemblies,19.9,FR4 Composite,47.4,Copper,29.6,12.0,Chemically Bonded / Cast,2.0
Main Switchboard,Insulation Panels and Barriers,11.72,Polyamide,68.8,Polycarbonate,22.0,13.0,Mechanically Fastened / Bolted,2.0
Main Switchboard,Steel Frame / Chassis,864.1,Carbon Steel,95.6,Stainless Steel,3.1,33.0,Welded,1.0
Main Switchboard,Earthing and Grounding Bars,16.86,Copper,92.5,Carbon Steel,4.0,31.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,36.94,Carbon Steel,54.3,Copper,26.8,14.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Copper Busbar System,220.55,Copper,93.4,Carbon Steel,1.0,27.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Withdrawable Contactors,17.32,Copper,47.3,Silver-Tin Oxide,20.3,12.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,Protection Relays and Meters,12.88,FR4 Composite,42.8,Copper,33.6,14.0,Mechanically Fastened / Bolted,0.0
Main Switchboard,Withdrawable Circuit Breakers,42.16,Carbon Steel,57.8,Copper,23.2,17.0,Mechanically Fastened / Bolted,1.0
Main Switchboard,PLC and Logic Assemblies,21.83,FR4 Composite,45.5,Copper,27.3,12.0,Chemically Bonded / Cast,2.0
